,team,height,bat_hand,throw_hand,year,position,name,player_id,opponent,win,saves,innings,earned_runs_allowed,singles,doubles,triples,home_runs,runs,runs_batted_in,walks,hits_by_pitch,stolen_bases,caught_stealing
106,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Cal Poly,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Texas State,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
108,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Arizona,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
109,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Oklahoma State,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Rice,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
111,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,UTSA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
112,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Texas Southern,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
113,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,New Mexico State,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0
114,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,New Mexico State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
115,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,New Mexico State,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Prairie View,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
117,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Alabama,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Alabama,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Oregon State,77.0,RIGHT,RIGHT,3.0,INF,Jacob Krieg,8874113.0,Xavier,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
121,Oregon State,77.0,RIGHT,RIGHT,3.0,INF,Jacob Krieg,8874113.0,UNLV,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
122,Oregon State,77.0,RIGHT,RIGHT,3.0,INF,Jacob Krieg,8874113.0,Indiana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
123,Oregon State,77.0,RIGHT,RIGHT,3.0,INF,Jacob Krieg,8874113.0,Xavier,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,7.0,1.0,0.0,0.0,0.0
124,Oregon State,77.0,RIGHT,RIGHT,3.0,INF,Jacob Krieg,8874113.0,Houston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
